case,C_python,C_matlab,R_km_python,R_km_matlab,M_kg_python,M_kg_matlab,rho_python,rho_matlab,g_python,g_matlab,P_python,P_matlab,rel_err_R,rel_err_M,rel_err_rho
C_HT_anchor,6.39,6.39,395.5938860646178,395.593886,1.0654062711511257e+32,1.065406e+32,410844925036034.3,410844900000000.0,45438274472.72588,45438270000.0,3.692490040338753e+30,3.69249e+30,1.6334372660402566e-10,2.5450490854751974e-07,6.093791790248874e-08
T216_full_stack,13.41479471679897,13.414795,273.0285008238546,273.028501,7.353154010403753e+31,7.353154000000001e+31,862503963974500.9,862504000000000.0,65835997049.74779,65836000000.0,7.751799043031161e+30,7.751799e+30,6.451539655978705e-10,1.414869316441591e-09,4.1768502673299087e-08
T217_modeB_strongest_defensible,26.11858079384958,26.118581,195.6704359074044,195.670436,5.269760651977594e+31,5.269761e+31,1679293641360991.2,1679294000000000.0,91864177086.22353,91864180000.0,1.5092738567929988e+31,1.5092740000000002e+31,4.732222234528126e-10,6.604140675079311e-08,2.135653943519606e-07
T218_robust_partially_estimated,59.81466502980856,59.814665,129.29929666841946,129.299297,3.482265181000858e+31,3.4822650000000002e+31,3845782718345413.5,3845783000000000.0,139019345332.0358,139019300000.0,3.456417134409496e+31,3.4564170000000003e+31,2.564441924999671e-09,5.197790764524698e-08,7.323725938972896e-08
T218_speculative_singular_risk,133.99192191862943,133.991922,86.38944655625785,86.389447,2.326624888921513e+31,2.326625e+31,8615007999388646.0,8615008000000000.0,208070595324.7512,208070600000.0,7.742783054309655e+31,7.7427830000000005e+31,5.136531949735755e-09,4.774232739532596e-08,7.096383428121994e-11
