case_name,C,R_km,C_R_squared_km2,M_kg,M_solar,rho_mean_kg_m3,rho_peak_kg_m3,rho_peak_over_rho_mean,rho_over_nuclear,compactness_u,r_s_over_R,g_surface_m_s2,v_escape_over_c,central_pressure_scale_Pa,tidal_gradient_per_m,confidence_tier,mechanism_list,mechanism_certification_status
C_HT_anchor,6.39,395.5938860646178,999999.9999999999,1.0654062711511255e+32,53.56492062097162,410844925036034.3,1070000000000000.0,2.604388991554788,0.0017862822827653666,0.2,0.39999999999999997,45438274472.72588,0.6324555320336759,3.692490040338753e+30,229721.8236851306,CERTIFIED_FIXED_K_ANCHOR,fixed_K_certificate_only,ALL_CERTIFIED
T216_full_stack,13.41479471679897,273.0285008238546,1000000.0000000001,7.353154010403753e+31,36.96910010258297,862503963974500.9,2250000000000000.0,2.60868366289215,0.003750017234671743,0.2,0.4,65835997049.74779,0.6324555320336759,7.751799043031161e+30,482264.64893657493,AUDIT_CHAIN_BRANCH_LP_4_MECHANISM,topological;BIC_oscillator;active_pump_alpha_1;non_normal,ALL_BRANCH_LP
T217_modeB_strongest_defensible,26.11858079384958,195.6704359074044,999999.9999999999,5.269760651977594e+31,26.494523137142252,1679293641360991.2,4370000000000000.0,2.602284610842874,0.007301276701569527,0.2,0.39999999999999997,91864177086.22353,0.6324555320336759,1.5092738567929988e+31,938968.3899891316,STRONGEST_DEFENSIBLE_CHANGED_OPERATOR_BRANCH_LP,K_design;topological;BIC_oscillator;active_pump_alpha_1;non_normal,ALL_BRANCH_LP
T218_robust_partially_estimated,59.81466502980856,129.29929666841946,1000000.0000000003,3.482265181000858e+31,17.507617802920354,3845782718345413.5,1e+16,2.60025090660929,0.016720794427588753,0.2,0.39999999999999997,139019345332.0358,0.6324555320336759,3.456417134409496e+31,2150349.598397938,PARTIALLY_BRIEF_ESTIMATED,K_design;topological;BIC_oscillator;active_pump_alpha_1;non_normal;multipole_TSH;impedance_matched,MIXED_INCLUDES_BRIEF_ESTIMATED
T218_speculative_singular_risk,133.99192191862943,86.38944655625785,1000000.0,2.3266248889215134e+31,11.697460477232346,8615007999388647.0,2.24e+16,2.600113662296029,0.03745655651908107,0.2,0.4,208070595324.75122,0.6324555320336759,7.742783054309655e+31,4817037.349330699,SINGULAR_RISK_BRIEF_ESTIMATED,K_design;topological;BIC_oscillator;active_pump_alpha_1;non_normal;multipole_TSH;impedance_matched;regularised_extremiser,MIXED_INCLUDES_BRIEF_ESTIMATED
