case,C,R_km,R_m,R1_m,R2_m,M_kg,M_solar,rho_avg_kg_m3,rho_avg_over_nuclear,g_surf_m_s2,v_esc_over_c,P_centre_Pa,rs_m,rs_over_R,d2g_per_m_per_m,r_roche_km
C_HT_anchor,6.390000,395.593886,3.955939e+05,1.977969e+05,3.955939e+05,1.065406e+32,53.5649,4.108449e+14,1.786282e-03,4.543827e+10,0.632456,3.692490e+30,1.582376e+05,0.400000,2.297218e+05,2039084.053336
T216_full_stack,13.414795,273.028501,2.730285e+05,1.365143e+05,2.730285e+05,7.353154e+31,36.9691,8.625040e+14,3.750017e-03,6.583600e+10,0.632456,7.751799e+30,1.092114e+05,0.400000,4.822646e+05,1801999.223163
T217_modeB_strongest_defensible,26.118581,195.670436,1.956704e+05,9.783522e+04,1.956704e+05,5.269761e+31,26.4945,1.679294e+15,7.301277e-03,9.186418e+10,0.632456,1.509274e+31,7.826817e+04,0.400000,9.389684e+05,1612601.311936
T218_robust_partially_estimated,59.814665,129.299297,1.292993e+05,6.464965e+04,1.292993e+05,3.482265e+31,17.5076,3.845783e+15,1.672079e-02,1.390193e+11,0.632456,3.456417e+31,5.171972e+04,0.400000,2.150350e+06,1404593.514467
T218_speculative_singular_risk,133.991922,86.389447,8.638945e+04,4.319472e+04,8.638945e+04,2.326625e+31,11.6975,8.615008e+15,3.745656e-02,2.080706e+11,0.632456,7.742783e+31,3.455578e+04,0.400000,4.817037e+06,1227925.924667
