basis,r,C_LP_red,rel_error,ineq_viol,box_viol,eq_res,solve_time_s,orth_resid,active_box
POD,16,5.545482728192785,0.04815730513309274,5.5131246790018906e-14,8.881784197001252e-16,4.684149796556694e-15,0.29404187202453613,5.484801598478619e-15,33
POD,32,5.568811768383168,0.044153041199390244,7.037079252647516e-14,0.0,6.900807914466886e-15,0.668257474899292,8.643589614423472e-15,32
POD,64,5.640763114639847,0.031803104020417534,1.540180743359043e-13,2.220446049250313e-16,8.331958170279541e-15,2.1493122577667236,1.4173882249894474e-14,32
