basis,r,C_LP_red,rel_error,eq_res,ineq_viol,box_viol,gap,stat,comp,dual_nonneg_min,active_ineq,active_box
POD,16,5.532208081791653,0.05043580383612202,3.207798474546761e-15,2.050012178241023e-14,4.440892098500626e-16,3.552713678800501e-15,2.220446049250313e-16,4.118291819573711e-15,0.0,127,33
POD,32,5.541390958207293,0.04885962836817665,3.104816208819583e-15,2.4303692738869564e-14,0.0,7.105427357601002e-15,2.220446049250313e-16,2.0828879033832455e-15,0.0,141,36
POD,64,5.553024637447023,0.04686279001495893,3.759945371543949e-15,3.117899818536052e-14,4.440892098500626e-16,1.4210854715202004e-14,6.661338147750939e-16,1.8482297693871053e-15,0.0,179,35
POD,128,5.576754895775256,0.04278965983961813,7.778472961225691e-15,4.8803626070959005e-14,4.440892098500626e-15,1.4210854715202004e-14,1.9984014443252818e-15,1.843406171283175e-14,0.0,238,36
greedy,32,5.542655551881727,0.048642569852266865,3.509630194971358e-15,2.3981901534075867e-14,2.220446049250313e-16,1.0658141036401503e-14,1.1102230246251565e-15,4.99317206917416e-15,0.0,144,34
greedy,64,5.617344296792099,0.03582277765089735,2.7290618902090294e-14,1.4742063472739098e-11,2.2670754162845697e-13,8.348877145181177e-14,2.220446049250313e-16,9.677838749140182e-14,0.0,5365,47
greedy,128,5.617344296792005,0.03582277765091336,2.7311759150387867e-14,3.4725815972747043e-12,3.084199562408685e-13,1.7763568394002505e-14,1.9984014443252818e-15,5.02232931573739e-14,0.0,5365,47
